count,promo,sale,onsale,onsaley,Facebook,Twitter,traffic,AWND,PRCP,SNOW,TMAX,TMIN,christmas,left,weekday,monthday,week,yearday,year,month
2188,0,0,0,0,1664348.0,16091.0,37532.0,2.24,0.0,0.0,80,56,-232,206.0,3,7,19,127,2015,5
816,0,0,0,0,1479931.0,12366.0,11477.0,2.91,0.0,0.0,82,56,-231,206.0,4,8,19,128,2015,5
376,0,0,0,0,1462805.0,14043.0,5334.0,4.25,0.0,0.0,70,57,-230,206.0,5,9,19,129,2015,5
229,0,0,0,0,1396044.0,9170.0,4087.0,3.58,0.0,0.0,83,61,-229,206.0,6,10,19,130,2015,5
700,0,0,0,0,1573237.0,15502.0,4825.0,3.8,0.0,0.0,84,70,-228,206.0,0,11,20,131,2015,5
1154,0,0,0,0,1118959.0,14369.0,10490.0,5.37,0.0,0.0,86,64,-227,206.0,1,12,20,132,2015,5
593,0,0,0,0,832782.0,113960.0,7222.0,7.38,0.0,0.0,70,53,-226,206.0,2,13,20,133,2015,5
413,0,0,0,0,1027671.0,22182.0,3813.0,3.8,0.0,0.0,73,50,-225,206.0,3,14,20,134,2015,5
483,0,0,0,0,836024.0,16522.0,4495.0,3.36,0.0,0.0,75,55,-224,206.0,4,15,20,135,2015,5
388,0,0,0,0,565892.0,93060.0,2542.0,2.01,0.3,0.0,75,57,-223,206.0,5,16,20,136,2015,5
396,0,0,0,0,1352991.0,42487.0,1974.0,2.01,0.02,0.0,83,64,-222,206.0,6,17,20,137,2015,5
676,0,0,0,0,1082446.0,37342.0,2654.0,4.7,0.0,0.0,75,60,-221,206.0,0,18,21,138,2015,5
1341,0,0,1,0,1129016.0,22981.0,4553.0,2.46,0.0,0.0,80,59,-220,206.0,1,19,21,139,2015,5
400,0,0,0,1,1030014.0,21705.0,2072.0,6.93,0.0,0.0,67,54,-219,206.0,2,20,21,140,2015,5
330,0,0,0,0,901399.0,27582.0,1321.0,2.68,0.0,0.0,62,52,-218,206.0,3,21,21,141,2015,5
235,0,0,0,0,430299.0,26732.0,1137.0,6.04,0.0,0.0,74,55,-217,206.0,4,22,21,142,2015,5
150,0,0,0,0,317256.0,23303.0,949.0,4.47,0.0,0.0,70,49,-216,206.0,5,23,21,143,2015,5
174,0,0,0,0,278824.0,20574.0,953.0,3.8,0.0,0.0,81,56,-215,206.0,6,24,21,144,2015,5
195,0,0,0,0,1678765.0,37337.0,1023.0,4.92,0.0,0.0,85,64,-214,206.0,0,25,22,145,2015,5
151,0,0,0,0,840997.0,40279.0,1144.0,5.14,0.0,0.0,88,67,-213,206.0,1,26,22,146,2015,5
183,0,0,0,0,396416.0,21879.0,1099.0,5.14,0.08,0.0,85,70,-212,206.0,2,27,22,147,2015,5
176,0,0,0,0,413526.0,52244.0,1309.0,4.03,0.0,0.0,85,70,-211,206.0,3,28,22,148,2015,5
133,0,0,0,0,407735.0,38770.0,1035.0,4.03,0.0,0.0,85,65,-210,206.0,4,29,22,149,2015,5
179,0,0,0,0,236746.0,22829.0,944.0,5.59,0.0,0.0,85,67,-209,206.0,5,30,22,150,2015,5
162,0,0,0,0,737193.0,22632.0,1108.0,5.59,1.46,0.0,87,57,-208,206.0,6,31,22,151,2015,5
203,0,0,0,0,817342.0,28539.0,1362.0,10.29,0.72,0.0,58,51,-207,206.0,0,1,23,152,2015,6
173,0,0,0,0,1282320.0,27690.0,1547.0,6.26,0.37,0.0,55,50,-206,206.0,1,2,23,153,2015,6
259,0,0,0,0,671731.0,23110.0,1435.0,4.7,0.0,0.0,70,52,-205,206.0,2,3,23,154,2015,6
212,0,0,0,0,595824.0,33207.0,1135.0,5.14,0.0,0.0,65,54,-204,206.0,3,4,23,155,2015,6
161,0,0,0,0,672672.0,65168.0,937.0,2.91,0.13,0.0,70,55,-203,206.0,4,5,23,156,2015,6
197,0,0,0,0,719691.0,35545.0,815.0,4.7,0.19,0.0,76,60,-202,206.0,5,6,23,157,2015,6
226,0,0,0,0,751267.0,40531.0,968.0,3.8,0.0,0.0,74,55,-201,206.0,6,7,23,158,2015,6
224,0,0,0,0,762241.0,35589.0,1165.0,6.04,0.06,0.0,79,63,-200,206.0,0,8,24,159,2015,6
199,0,0,0,0,781903.0,31909.0,1172.0,4.92,0.01,0.0,83,68,-199,206.0,1,9,24,160,2015,6
357,0,0,0,0,1595432.0,30546.0,7233.0,3.13,0.0,0.0,82,65,-198,206.0,2,10,24,161,2015,6
198,0,0,0,0,919651.0,53355.0,2344.0,4.47,0.0,0.0,89,72,-197,206.0,3,11,24,162,2015,6
234,0,0,0,0,849173.0,38150.0,1382.0,4.47,0.0,0.0,88,73,-196,206.0,4,12,24,163,2015,6
195,0,0,0,0,786639.0,16903.0,1078.0,5.37,0.0,0.0,86,72,-195,206.0,5,13,24,164,2015,6
190,0,0,0,0,733720.0,20690.0,1089.0,2.68,0.36,0.0,88,66,-194,206.0,6,14,24,165,2015,6
211,0,0,0,0,3140136.0,33686.0,1299.0,4.7,0.57,0.0,83,64,-193,206.0,0,15,25,166,2015,6
248,0,0,0,0,2107843.0,33280.0,1209.0,2.24,0.27,0.0,79,65,-192,206.0,1,16,25,167,2015,6
192,0,0,0,0,1104061.0,34934.0,1177.0,3.8,0.0,0.0,82,66,-191,206.0,2,17,25,168,2015,6
133,0,0,0,0,784397.0,47272.0,1162.0,3.58,0.0,0.0,71,64,-190,206.0,3,18,25,169,2015,6
170,0,0,0,0,1179092.0,24386.0,991.0,3.8,0.0,0.0,87,68,-189,206.0,4,19,25,170,2015,6
127,0,0,0,0,874760.0,21199.0,943.0,5.37,0.0,0.0,75,64,-188,206.0,5,20,25,171,2015,6
209,0,0,0,0,580740.0,17010.0,1022.0,4.47,0.64,0.0,88,71,-187,206.0,6,21,25,172,2015,6
215,0,0,0,0,674735.0,25366.0,1181.0,4.92,0.0,0.0,87,70,-186,206.0,0,22,26,173,2015,6
234,0,0,0,0,1436900.0,20286.0,1211.0,5.82,0.02,0.0,90,75,-185,206.0,1,23,26,174,2015,6
226,0,0,0,0,1812739.0,21433.0,3086.0,4.7,0.0,0.0,84,68,-184,206.0,2,24,26,175,2015,6
252,0,0,0,0,1517969.0,102460.0,1871.0,3.13,0.0,0.0,83,65,-183,206.0,3,25,26,176,2015,6
165,0,0,0,0,629066.0,24993.0,1306.0,4.47,0.0,0.0,81,69,-182,206.0,4,26,26,177,2015,6
192,0,0,0,0,683144.0,20278.0,1178.0,7.38,1.12,0.0,71,58,-181,206.0,5,27,26,178,2015,6
222,0,0,0,0,904315.0,60282.0,1252.0,5.37,0.29,0.0,73,62,-180,206.0,6,28,26,179,2015,6
189,0,0,0,0,1104547.0,39171.0,1198.0,4.92,0.0,0.0,76,63,-179,206.0,0,29,27,180,2015,6
173,0,0,0,0,1321551.0,27284.0,1232.0,4.92,0.04,0.0,82,68,-178,206.0,1,30,27,181,2015,6
201,0,0,0,0,1634351.0,52109.0,1249.0,4.25,0.39,0.0,82,69,-177,206.0,2,1,27,182,2015,7
256,0,0,0,0,1410639.0,32119.0,1262.0,1.12,0.0,0.0,80,69,-176,206.0,3,2,27,183,2015,7
159,0,0,0,0,1638716.0,41492.0,1044.0,2.91,0.0,0.0,82,66,-175,206.0,4,3,27,184,2015,7
135,0,0,0,0,908837.0,49620.0,954.0,3.36,0.0,0.0,75,69,-174,206.0,5,4,27,185,2015,7
201,0,0,0,0,832944.0,31301.0,1091.0,1.57,0.0,0.0,83,68,-173,206.0,6,5,27,186,2015,7
164,0,0,0,0,763468.0,19898.0,1308.0,2.91,0.0,0.0,83,72,-172,206.0,0,6,28,187,2015,7
277,0,0,0,0,759625.0,20138.0,1428.0,4.92,0.12,0.0,88,75,-171,206.0,1,7,28,188,2015,7
656,0,0,0,0,734275.0,31666.0,5704.0,3.13,0.0,0.0,88,77,-170,206.0,2,8,28,189,2015,7
465,0,0,0,0,999822.0,44566.0,3561.0,4.7,0.3,0.0,79,68,-169,206.0,3,9,28,190,2015,7
262,0,0,0,0,698387.0,31063.0,1823.0,4.7,0.0,0.0,84,72,-168,206.0,4,10,28,191,2015,7
240,0,0,0,0,478815.0,14579.0,1184.0,2.46,0.0,0.0,88,69,-167,206.0,5,11,28,192,2015,7
371,0,0,0,0,282260.0,15491.0,1331.0,2.01,0.0,0.0,89,72,-166,206.0,6,12,28,193,2015,7
357,0,0,0,0,1840275.0,27157.0,3861.0,2.68,0.0,0.0,88,73,-165,206.0,0,13,29,194,2015,7
438,0,0,0,0,1308162.0,38147.0,2746.0,2.68,0.42,0.0,82,73,-164,206.0,1,14,29,195,2015,7
310,0,0,0,0,750458.0,25363.0,1748.0,4.47,0.12,0.0,81,72,-163,206.0,2,15,29,196,2015,7
